C I ,1247.862    ,1.5e+07 
C I ,1248.003    ,4.e+06 
S I ,1248.0451   ,7.53e+06 
Ni V ,1248.0500   ,1.79e+08 
Ni V ,1248.091    ,7.75e+07 
Ni V ,1248.227    ,9.94e+07 
S IV ,1248.345    ,7.92e+06 
Si II ,1248.43     ,8.30e+08 
Ni V ,1248.445    ,3.22e+08 
Ni V ,1248.495    ,2.56e+08 
Mg II ,1248.511    ,3.83e+06 
Al IV ,1248.790    ,1.44e+09 
Ni V ,1248.8260   ,1.79e+08 
C I ,1249.002    ,1.3e+07 
C I ,1249.404    ,1.0e+08 
Ni V ,1249.442    ,3.62e+08 
Fe V ,1249.496    ,3.8e+07 
Ni V ,1249.5340   ,5.92e+08 
Fe II ,1249.794    ,1.1e+07 
Mg II ,1249.932    ,7.64e+06 
Ni V ,1250.043    ,1.88e+08 
Ni V ,1250.043    ,7.10e+07 
Ni V ,1250.397    ,2.43e+08 
Ni V ,1250.397    ,1.16e+09 
Ni V ,1250.397    ,1.91e+08 
C I ,1250.423    ,5.e+07 
Ni V ,1250.543    ,1.05e+09 
S II ,1250.578    ,5.13e+07 
Mn II ,1250.681    ,2.e+08 
Ni V ,1250.685    ,1.09e+08 
Fe V ,1250.736    ,1.30e+09 
Ni V ,1250.782    ,9.97e+07 
S I ,1250.8138   ,2.66e+06 
Ni V ,1250.903    ,4.00e+08 
Si II ,1251.16     ,1.30e+09 
C I ,1251.176    ,1.4e+07 
Al IV ,1251.235    ,2.20e+08 
Al IV ,1251.235    ,1.05e+07 
Ni V ,1251.293    ,3.63e+07 
S IV ,1251.653    ,5.12e+07 
Ni V ,1251.8370   ,1.03e+09 
Ni V ,1252.073    ,4.00e+08 
Ni V ,1252.169    ,6.35e+08 
Ni V ,1252.169    ,7.17e+08 
C I ,1252.209    ,8.e+06 
Ni V ,1252.282    ,3.03e+08 
Ni V ,1252.347    ,6.02e+07 
Ni V ,1252.394    ,4.56e+07 
Ni V ,1252.478    ,5.54e+08 
Ni V ,1252.718    ,1.62e+08 
Ni V ,1252.777    ,7.12e+08 
Ni V ,1253.025    ,1.77e+08 
Ni V ,1253.025    ,2.08e+07 
Ni V ,1253.097    ,3.28e+07 
Ni V ,1253.205    ,2.64e+08 
Ni V ,1253.205    ,1.00e+08 
Ni V ,1253.205    ,6.56e+07 
S I ,1253.297    ,5.29e+06 
Ni V ,1253.301    ,2.75e+08 
S I ,1253.3250   ,1.07e+07 
Mn II ,1253.37     ,4.e+08 
C I ,1253.467    ,1.3e+07 
Ni V ,1253.494    ,6.15e+08 
Ni V ,1253.494    ,1.46e+08 
Ni V ,1253.599    ,7.83e+07 
Ni V ,1253.668    ,6.58e+08 
Al V ,1253.76     ,1.00e+08 
S II ,1253.805    ,5.12e+07 
Ni V ,1253.996    ,3.88e+07 
Ni V ,1253.996    ,9.54e+08 
Ni V ,1253.996    ,1.66e+08 
Ni V ,1254.2000   ,6.43e+08 
Mn II ,1254.410    ,3.1e+08 
Ni V ,1254.421    ,7.71e+08 
Ni V ,1254.421    ,2.23e+08 
Ni V ,1254.421    ,9.51e+07 
C I ,1254.510    ,6.e+06 
Ni V ,1254.541    ,1.17e+08 
Ni V ,1254.861    ,3.54e+08 
Fe II ,1255.404    ,3.4e+07 
Fe II ,1255.502    ,6.e+06 
Ni V ,1255.576    ,4.83e+07 
Ni V ,1255.748    ,8.25e+08 
Ni V ,1255.748    ,9.21e+07 
Mn VI ,1255.766    ,1.2e+09 
Ni V ,1255.805    ,3.67e+07 
Ni V ,1255.805    ,1.71e+08 
Ni V ,1256.031    ,1.16e+08 
Ni V ,1256.031    ,2.32e+08 
Al IV ,1256.083    ,3.81e+07 
S I ,1256.0930   ,7.98e+06 
Ni V ,1256.221    ,5.41e+07 
Ni V ,1256.303    ,4.05e+06 
Ni V ,1256.379    ,4.39e+08 
Ni V ,1256.379    ,1.76e+08 
Fe II ,1256.435    ,3.0e+07 
C I ,1256.493    ,1.5e+07 
Ni V ,1256.829    ,3.85e+08 
Ni V ,1256.9160   ,1.06e+09 
Mn II ,1256.96     ,2.e+08 
Ni V ,1257.000    ,1.72e+08 
Ni V ,1257.1360   ,3.47e+08 
C I ,1257.565    ,6.e+06 
Al IV ,1257.624    ,1.68e+09 
Ni V ,1257.637    ,1.11e+09 
Ni V ,1258.0220   ,3.46e+08 
S IV ,1258.173    ,4.85e+07 
Ni V ,1258.2320   ,5.50e+08 
Mn VI ,1258.413    ,2.6e+08 
Ni V ,1258.462    ,2.72e+07 
Ni V ,1258.462    ,4.92e+07 
Ni V ,1258.5380   ,3.58e+08 
Al II ,1258.8585   ,1.02e+08 
Ni V ,1259.035    ,1.88e+08 
Fe II ,1259.055    ,2.6e+07 
Ni V ,1259.129    ,7.53e+08 
Fe II ,1259.178    ,1.6e+07 
Ni V ,1259.194    ,3.61e+08 
S II ,1259.518    ,5.10e+07 
Mn II ,1259.56     ,3.e+08 
Ni V ,1259.589    ,3.44e+08 
Fe II ,1259.636    ,9.e+06 
Ni V ,1259.727    ,3.50e+08 
Ni V ,1260.412    ,5.88e+08 
Si II ,1260.42     ,2.57e+09 
Fe II ,1260.525    ,1.1e+08 
C I ,1260.612    ,1.8e+07 
C I ,1260.736    ,5.5e+07 
Ni V ,1260.759    ,9.74e+07 
S V ,1260.763    ,2.70e+08 
Fe II ,1260.830    ,1.0e+08 
Ni V ,1260.881    ,3.05e+07 
C I ,1260.927    ,1.76e+08 
C I ,1260.996    ,4.6e+07 
Ni V ,1261.120    ,4.73e+07 
C I ,1261.121    ,3.9e+07 
Ni V ,1261.233    ,2.98e+08 
Ni V ,1261.233    ,3.58e+08 
Ni V ,1261.233    ,5.58e+08 
Ni V ,1261.341    ,9.77e+08 
S V ,1261.381    ,8.09e+08 
C I ,1261.423    ,7.3e+07 
Ni V ,1261.441    ,1.03e+09 
S IV ,1261.523    ,1.90e+07 
C I ,1261.551    ,1.31e+08 
Ni V ,1261.575    ,4.74e+07 
C I ,1261.720    ,6.e+06 
Ni V ,1261.760    ,1.01e+09 
Fe II ,1262.081    ,5.e+06 
Fe II ,1262.141    ,1.3e+08 
Ni V ,1262.146    ,9.90e+06 
Fe II ,1262.211    ,8.e+06 
Al IV ,1262.544    ,2.77e+08 
Ni V ,1262.552    ,8.56e+08 
Ni V ,1262.552    ,6.59e+08 
Ni V ,1262.656    ,5.24e+07 
Ni V ,1262.739    ,4.75e+08 
Fe II ,1262.823    ,6.e+07 
S I ,1262.8596   ,1.48e+07 
Ni V ,1262.986    ,1.95e+07 
Ni V ,1263.102    ,1.75e+08 
S IV ,1263.114    ,3.03e+07 
Fe II ,1263.198    ,1.1e+07 
Ni V ,1263.302    ,4.58e+08 
Ni V ,1263.3450   ,3.36e+08 
Ni V ,1263.581    ,1.21e+08 
Ni V ,1263.634    ,6.02e+07 
Fe II ,1263.706    ,1.5e+07 
Ni V ,1264.014    ,2.98e+07 
Mn VI ,1264.101    ,7.6e+08 
Al IV ,1264.181    ,1.36e+09 
Ni V ,1264.265    ,5.39e+07 
Ni V ,1264.438    ,7.90e+07 
Ni V ,1264.438    ,2.57e+08 
Mn II ,1264.45     ,3.e+08 
Ni V ,1264.520    ,1.10e+09 
Ni V ,1264.520    ,1.28e+08 
Ni V ,1264.641    ,1.04e+07 
Al V ,1264.67     ,3.27e+08 
Si II ,1264.73     ,3.04e+09 
Ni V ,1264.751    ,5.84e+08 
Ni V ,1264.932    ,3.19e+08 
Si II ,1265.02     ,4.73e+08 
Fe II ,1265.074    ,1.6e+07 
Fe II ,1265.464    ,9.e+06 
Fe II ,1265.641    ,1.4e+08 
Ni V ,1265.669    ,1.08e+09 
Ni V ,1265.739    ,4.89e+08 
Fe II ,1265.776    ,6.0e+07 
Ni V ,1265.8750   ,2.12e+07 
Ni V ,1266.135    ,1.25e+08 
Fe II ,1266.245    ,4.1e+07 
Fe II ,1266.245    ,1.5e+08 
Ni V ,1266.407    ,9.28e+08 
C I ,1266.417    ,1.52e+07 
S V ,1266.453    ,1.33e+09 
Fe V ,1266.524    ,2.8e+07 
Fe II ,1266.526    ,1.4e+08 
Fe II ,1266.675    ,3.1e+07 
Ni V ,1266.7050   ,1.69e+08 
Ni V ,1266.8640   ,5.95e+08 
Ni V ,1267.038    ,2.24e+08 
Ni V ,1267.151    ,4.76e+07 
Ni V ,1267.304    ,6.72e+08 
Ni V ,1267.304    ,5.78e+08 
Ni V ,1267.304    ,2.72e+08 
Fe II ,1267.416    ,8.e+07 
C I ,1267.599    ,7.e+06 
Ni V ,1267.812    ,5.02e+08 
Ni V ,1267.896    ,3.72e+08 
Ni V ,1267.996    ,1.61e+08 
Fe II ,1268.143    ,2.9e+07 
Ni V ,1268.1810   ,3.41e+08 
S V ,1268.493    ,5.66e+08 
Fe II ,1268.559    ,4.5e+07 
Ni V ,1268.757    ,2.10e+08 
Ni V ,1268.8830   ,6.76e+08 
Fe II ,1269.041    ,2.2e+07 
S I ,1269.2086   ,8.18e+06 
Al IV ,1269.209    ,2.01e+07 
Ni V ,1269.254    ,1.80e+08 
Fe II ,1269.356    ,2.2e+07 
Ni V ,1269.383    ,3.95e+08 
Ni V ,1269.6280   ,9.03e+07 
Fe V ,1269.784    ,1.7e+07 
Fe II ,1269.823    ,2.4e+07 
C I ,1270.146    ,4.5e+05 
Ni V ,1270.2050   ,7.28e+08 
C I ,1270.408    ,2.1e+05 
Fe V ,1270.470    ,4.4e+07 
Ni V ,1270.690    ,1.11e+09 
S I ,1270.7821   ,2.54e+07 
S I ,1270.7821   ,6.70e+06 
Fe II ,1271.234    ,5.e+06 
Mg II ,1271.243    ,1.23e+06 
Ni V ,1271.263    ,1.34e+08 
Ni V ,1271.263    ,3.82e+07 
Fe II ,1271.348    ,1.8e+07 
Ni V ,1271.443    ,6.27e+08 
Fe II ,1271.592    ,7.e+07 
Mg II ,1271.943    ,4.49e+06 
Fe II ,1271.974    ,5.7e+07 
Ni V ,1272.036    ,2.65e+08 
S I ,1272.0749   ,2.62e+06 
Ni V ,1272.159    ,4.13e+07 
Fe II ,1272.248    ,3.1e+07 
Mn VI ,1272.444    ,8.4e+08 
Fe II ,1272.617    ,2.7e+07 
Ni V ,1272.648    ,2.25e+08 
Ni V ,1272.648    ,3.89e+07 
Fe II ,1272.656    ,1.8e+07 
Ni V ,1272.721    ,3.17e+08 
Mg II ,1272.725    ,1.44e+06 
Al IV ,1272.763    ,1.52e+09 
Ni V ,1272.786    ,1.02e+08 
Ni V ,1272.868    ,8.21e+07 
Fe II ,1273.038    ,9.e+06 
Fe II ,1273.099    ,3.8e+07 
Ni V ,1273.207    ,2.75e+07 
Ni V ,1273.207    ,9.98e+08 
Ni V ,1273.207    ,4.54e+07 
Mg II ,1273.427    ,8.97e+06 
Ni V ,1273.739    ,1.47e+08 
Ni V ,1273.818    ,4.74e+08 
Fe II ,1274.064    ,2.4e+07 
C I ,1274.108    ,1.20e+06 
Ni V ,1274.2610   ,4.86e+08 
Fe II ,1274.470    ,7.e+06 
Ni V ,1274.501    ,1.28e+08 
S V ,1274.520    ,1.34e+08 
Mg III ,1274.831    ,2.53e+08 
C I ,1274.983    ,2.25e+07 
Fe II ,1275.143    ,1.9e+07 
Fe II ,1275.348    ,2.6e+07 
Al IV ,1275.731    ,9.20e+06 
Fe II ,1275.792    ,4.1e+07 
Fe II ,1275.824    ,2.7e+07 
Ni V ,1275.9250   ,3.42e+08 
Mn II ,1275.97     ,3.8e+08 
Mn II ,1275.97     ,1.e+08 
C I ,1276.286    ,7.e+06 
Ni V ,1276.4310   ,8.16e+08 
C I ,1276.485    ,5.0e+06 
Ni V ,1276.632    ,2.16e+08 
Fe V ,1276.647    ,4.8e+06 
C I ,1276.754    ,9.4e+06 
Fe II ,1276.795    ,6.3e+07 
Ni V ,1276.892    ,1.04e+07 
Ni V ,1276.944    ,1.08e+09 
Mn II ,1277.12     ,2.e+08 
Ni V ,1277.193    ,4.82e+08 
S I ,1277.1985   ,1.05e+07 
S I ,1277.2122   ,1.84e+07 
C I ,1277.250    ,1.26e+08 
C I ,1277.285    ,1.70e+08 
C I ,1277.517    ,9.2e+07 
C I ,1277.556    ,2.28e+08 
Fe II ,1277.658    ,2.9e+07 
Ni V ,1277.668    ,5.57e+07 
Fe II ,1277.686    ,2.0e+07 
C I ,1277.728    ,6.30e+07 
Mn II ,1277.82     ,2.e+08 
Mn II ,1277.82     ,2.e+08 
C I ,1277.951    ,5.9e+06 
Al IV ,1278.265    ,1.17e+08 
Ni V ,1278.396    ,1.48e+08 
S V ,1278.814    ,1.13e+09 
Ni V ,1278.872    ,2.91e+08 
C I ,1279.057    ,4.0e+06 
Ni V ,1279.059    ,1.56e+08 
Fe II ,1279.097    ,4.1e+08 
C I ,1279.228    ,1.1e+07 
Ni V ,1279.3290   ,6.24e+08 
